City_ID,City,Country,Latitude,Longitude,Max Temperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather Description
225,Luderitz,NA,-26.6481,15.1594,66.43,57,0,7.56,clear sky
226,Kathmandu,NP,27.7167,85.3167,75.42,69,40,3.44,scattered clouds
227,Yining,CN,29.0361,114.5636,53.98,92,99,4.27,overcast clouds
228,North Las Vegas,US,36.1989,-115.1175,75.15,12,0,18.41,clear sky
229,Yumen,CN,40.2833,97.2,51.19,20,93,13.02,overcast clouds
230,Port Hardy,CA,50.6996,-127.4199,42.8,93,75,4.61,broken clouds
231,Bonavista,CA,48.6499,-53.1147,39.36,82,100,8.84,overcast clouds
232,Port Blair,IN,11.6667,92.75,82.44,89,40,0.0,mist
233,Limbang,MY,4.75,115.0,80.71,97,75,1.9,broken clouds
234,Fort Nelson,CA,58.8053,-122.7002,33.39,93,100,8.05,light snow
235,Warmbad,NA,-28.45,18.7333,84.22,17,20,12.82,few clouds
236,Meulaboh,ID,4.1363,96.1285,78.84,88,100,3.62,light rain
237,Lubango,AO,-14.9172,13.4925,69.03,59,87,2.84,overcast clouds
238,Port Shepstone,ZA,-30.7414,30.455,68.43,76,0,11.59,clear sky
239,Ulladulla,AU,-35.35,150.4667,61.7,88,42,6.2,scattered clouds
240,Shirokiy,RU,49.758,129.523,36.95,54,52,8.59,broken clouds
241,Ponta Do Sol,PT,32.6667,-17.1,68.72,73,99,3.18,overcast clouds
242,Bonthe,SL,7.5264,-12.505,86.47,67,100,10.96,light rain
243,Lavrentiya,RU,65.5833,-171.0,24.6,93,99,8.97,overcast clouds
244,Banepa,NP,27.6298,85.5214,73.72,69,40,3.44,scattered clouds
245,Sabang,ID,5.8933,95.3214,84.45,75,58,10.47,broken clouds
246,Lotofaga,WS,-13.9764,-171.8578,74.98,78,28,23.17,light rain
247,Abbeville,FR,50.1,1.8333,65.48,57,93,9.42,overcast clouds
248,Havelock,US,34.8791,-76.9013,64.98,49,20,11.5,few clouds
249,Urengoy,RU,65.9667,78.3667,22.19,90,100,10.33,overcast clouds
250,Vila Praia De Ancora,PT,41.811,-8.8526,66.18,60,2,16.69,clear sky
251,Vuktyl,RU,63.8567,57.3094,26.64,68,100,6.31,overcast clouds
