City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Rosarito,MX,2022-04-25 03:26:10,32.3333,-117.0333,73.67,38,0,9.6
144,Siocon,PH,2022-04-25 03:26:10,7.7061,122.1353,86.2,71,66,1.41
145,Ushtobe,KZ,2022-04-25 03:26:11,45.2514,77.9838,52.79,92,100,8.25
146,Talnakh,RU,2022-04-25 03:26:11,69.4865,88.3972,4.21,94,87,4.97
147,Bubaque,GW,2022-04-25 03:26:12,11.2833,-15.8333,77.49,73,99,7.29
148,Behshahr,IR,2022-04-25 03:26:12,36.6923,53.5526,58.95,69,90,3.22
149,Oyem,GA,2022-04-25 03:26:13,1.5995,11.5793,67.33,99,100,1.99
150,Alugan,PH,2022-04-25 03:26:13,12.2188,125.4808,82.02,85,100,11.27
151,Mogadishu,SO,2022-04-25 03:26:14,2.0371,45.3438,84.07,74,40,10.36
152,Bambanglipuro,ID,2022-04-25 03:26:14,-7.95,110.2833,84.76,71,100,4.25
153,Viedma,AR,2022-04-25 03:26:15,-40.8135,-62.9967,61.09,35,86,27.72
154,La Paz,BO,2022-04-25 03:25:52,-16.5,-68.15,40.98,93,40,5.75
155,Darnah,LY,2022-04-25 03:26:16,32.767,22.6367,59.61,80,100,8.81
156,Dezful,IR,2022-04-25 03:26:16,32.3811,48.4058,74.25,35,100,3.02
157,Khurja,IN,2022-04-25 03:26:17,28.25,77.85,94.06,14,0,7.99
158,Aksarka,RU,2022-04-25 03:26:17,66.5606,67.7975,15.28,94,97,4.14
159,San Patricio,US,2022-04-25 03:26:18,28.017,-97.5169,78.89,92,23,15.21
160,Grand Gaube,MU,2022-04-25 03:26:19,-20.0064,57.6608,76.37,71,59,7.0
161,Pangnirtung,CA,2022-04-25 03:26:19,66.1451,-65.7125,22.01,94,100,5.61
162,Mitsamiouli,KM,2022-04-25 03:26:20,-11.3847,43.2844,79.09,89,20,11.5
163,Iqaluit,CA,2022-04-25 03:26:21,63.7506,-68.5145,20.93,92,75,20.71
164,Statesboro,US,2022-04-25 03:22:20,32.4488,-81.7832,67.48,77,0,4.61
165,Talaya,RU,2022-04-25 03:26:22,61.3833,152.75,25.88,73,100,13.06
166,Belmonte,BR,2022-04-25 03:26:22,-15.8631,-38.8828,77.97,85,76,7.67
167,Clyde River,CA,2022-04-25 03:26:23,70.4692,-68.5914,7.03,85,100,6.91
168,Ancud,CL,2022-04-25 03:26:23,-41.8697,-73.8203,45.23,68,63,19.3
169,Ilave,PE,2022-04-25 03:26:24,-16.0833,-69.6667,40.08,77,38,2.62
170,Seoul,KR,2022-04-25 03:26:09,37.5683,126.9778,72.79,64,75,5.75
171,Ilebo,CD,2022-04-25 03:26:26,-4.3167,20.5833,71.04,99,100,0.69
172,Port Augusta,AU,2022-04-25 03:26:26,-32.5,137.7667,76.57,41,100,17.27
173,Broken Hill,AU,2022-04-25 03:26:27,-31.95,141.4333,73.11,46,40,14.97
174,San Quintin,MX,2022-04-25 03:22:44,30.4833,-115.95,63.41,67,0,5.39
175,Leshukonskoye,RU,2022-04-25 03:26:28,64.8989,45.7622,32.43,89,100,3.58
176,Shimoda,JP,2022-04-25 03:27:28,34.6667,138.95,76.1,77,82,4.29
177,Codrington,AU,2022-04-25 03:27:29,-38.2667,141.9667,69.33,43,97,2.48
178,Vila Velha,BR,2022-04-25 03:27:29,-20.3297,-40.2925,78.75,87,75,11.5
179,Pierre,US,2022-04-25 03:27:30,44.3683,-100.351,38.86,68,100,24.16
180,Suarez,CO,2022-04-25 03:27:30,2.954,-76.6964,67.86,98,100,1.48
181,Mareeba,AU,2022-04-25 03:27:31,-17.0,145.4333,74.44,95,100,4.59
182,Ribeira Grande,PT,2022-04-25 03:27:31,38.5167,-28.7,58.68,75,16,14.85
183,Kapaa,US,2022-04-25 03:24:37,22.0752,-159.319,80.58,76,20,16.11
184,Erenhot,CN,2022-04-25 03:27:33,43.6475,111.9767,70.0,19,48,30.04
185,Mangai,CD,2022-04-25 03:27:33,-4.05,19.5333,70.54,95,100,1.32
186,Cidreira,BR,2022-04-25 03:27:34,-30.1811,-50.2056,68.32,89,0,19.62
187,Ossora,RU,2022-04-25 03:27:34,59.2353,163.0719,32.23,96,100,18.75
188,Lata,PT,2022-04-25 03:27:35,40.1629,-8.3327,47.07,94,45,2.21
189,Komsomolskiy,UZ,2022-04-25 03:27:35,40.4272,71.7189,59.72,82,100,4.61
190,Khani,GE,2022-04-25 03:27:36,41.9563,42.9566,40.57,69,0,5.41
191,Sawtell,AU,2022-04-25 03:27:36,-30.3833,153.1,71.62,64,78,9.22
192,Lompoc,US,2022-04-25 03:27:37,34.6391,-120.4579,59.77,87,0,8.05
193,Anastacio,BR,2022-04-25 03:27:37,-20.4836,-55.8069,74.12,84,32,5.19
194,Ixtapa,MX,2022-04-25 03:27:38,20.7,-105.2,72.63,83,0,3.44
195,Brodokalmak,RU,2022-04-25 03:27:38,55.5748,62.082,50.9,57,100,8.5
196,Avera,US,2022-04-25 03:27:39,33.194,-82.5271,67.51,70,54,5.97
197,Beringovskiy,RU,2022-04-25 03:27:39,63.05,179.3167,29.59,77,100,12.53
198,Port Elizabeth,ZA,2022-04-25 03:27:40,-33.918,25.5701,57.49,68,0,11.5
199,Brigham City,US,2022-04-25 03:27:40,41.5102,-112.0155,49.46,50,0,1.01
200,Kavaratti,IN,2022-04-25 03:27:41,10.5669,72.642,84.27,70,26,2.39
201,Te Anau,NZ,2022-04-25 03:27:42,-45.4167,167.7167,60.15,59,81,4.34
202,Pimentel,PE,2022-04-25 03:27:42,-6.8367,-79.9342,66.49,89,56,12.17
203,Providencia,MX,2022-04-25 03:27:43,28.7167,-111.5833,76.21,32,0,11.16
204,Kaputa,ZM,2022-04-25 03:27:43,-8.4689,29.6619,67.51,92,100,2.84
205,Sao Joao Da Barra,BR,2022-04-25 03:27:44,-21.6403,-41.0511,74.53,81,100,10.22
